fips,obesity_pct,median_income,grocery_per_10k,drove_pct,bachelors_pct,uninsured_pct,grocery_count,population
04013422617,28.4,121383.0,0.0,68.27,40.59,8.72,0,5886
04013422618,24.2,60813.0,0.0,89.53,30.48,0.63,0,3195
04013422624,28.6,57652.0,3.592,58.79,29.81,3.62,1,2784
04013422625,31.6,51033.0,0.0,83.52,12.71,18.98,0,4739
04013422626,28.7,53278.0,3.648,78.44,17.61,3.11,1,2741
04013422633,31.5,66375.0,13.289,83.9,22.22,13.16,4,3010
04013422634,31.2,55599.0,0.0,88.86,19.44,18.94,0,5750
04013422636,28.6,82813.0,2.656,79.44,30.53,8.26,1,3765
04013422637,28.2,103906.0,0.0,75.01,33.35,14.51,0,3693
04013422638,28.8,66435.0,2.269,80.4,36.49,11.03,1,4407
04013422640,27.3,81302.0,0.0,72.81,40.72,9.35,0,4991
04013422642,29.1,93000.0,3.687,69.64,39.15,4.37,2,5424
04013422643,28.6,108833.0,0.0,82.2,30.16,4.66,0,5938
04013422647,27.3,153355.0,0.797,61.51,57.65,4.21,1,12550
04013422648,27.7,131131.0,0.0,71.93,36.98,5.05,0,6282
04013422649,28.3,128583.0,0.0,71.87,32.53,1.88,0,7294
04013422650,28.1,96827.0,0.0,76.48,22.51,5.85,0,2767
04013422651,29.2,167188.0,0.0,67.85,40.52,4.55,0,4708
04013422652,25.4,76389.0,7.946,77.81,38.69,0.32,2,2517
04013422654,28.7,143819.0,1.881,68.5,40.65,8.44,1,5315
04013422655,29.1,96518.0,0.0,80.55,30.63,7.11,0,3937
04013422659,27.8,76118.0,0.0,71.8,30.69,5.4,0,1778
04013422660,30.0,78873.0,0.0,73.48,32.85,8.54,0,5255
04013522801,,,,,,,0,0
04013522802,30.7,38828.0,0.0,59.38,29.05,19.33,0,1128
04013817600,27.4,139167.0,1.027,66.14,53.64,2.33,1,9733
