"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ppopwoins","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013421801","AZ","04013421801","=""04013421801""","23.33","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421802","AZ","04013421802","=""04013421802""","21.98","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421901","AZ","04013421901","=""04013421901""","35.70","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421902","AZ","04013421902","=""04013421902""","32.53","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422001","AZ","04013422001","=""04013422001""","37.72","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422002","AZ","04013422002","=""04013422002""","33.16","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422102","AZ","04013422102","=""04013422102""","15.41","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422103","AZ","04013422103","=""04013422103""","11.30","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422104","AZ","04013422104","=""04013422104""","21.05","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422105","AZ","04013422105","=""04013422105""","17.13","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422106","AZ","04013422106","=""04013422106""","17.26","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422107","AZ","04013422107","=""04013422107""","13.51","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422203","AZ","04013422203","=""04013422203""","22.94","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422212","AZ","04013422212","=""04013422212""","2.25","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422213","AZ","04013422213","=""04013422213""","4.99","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422215","AZ","04013422215","=""04013422215""","12.06","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422216","AZ","04013422216","=""04013422216""","8.12","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422217","AZ","04013422217","=""04013422217""","15.38","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422221","AZ","04013422221","=""04013422221""","4.99","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422222","AZ","04013422222","=""04013422222""","6.72","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422223","AZ","04013422223","=""04013422223""","7.39","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422224","AZ","04013422224","=""04013422224""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422225","AZ","04013422225","=""04013422225""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422226","AZ","04013422226","=""04013422226""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422227","AZ","04013422227","=""04013422227""","9.18","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422301","AZ","04013422301","=""04013422301""","16.32","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422302","AZ","04013422302","=""04013422302""","9.51","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422501","AZ","04013422501","=""04013422501""","6.79","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422502","AZ","04013422502","=""04013422502""","11.37","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422503","AZ","04013422503","=""04013422503""","16.30","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422504","AZ","04013422504","=""04013422504""","11.38","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422513","AZ","04013422513","=""04013422513""","3.83","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422514","AZ","04013422514","=""04013422514""","9.55","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422607","AZ","04013422607","=""04013422607""","0.88","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422609","AZ","04013422609","=""04013422609""","12.61","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422610","AZ","04013422610","=""04013422610""","3.07","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422615","AZ","04013422615","=""04013422615""","4.71","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422617","AZ","04013422617","=""04013422617""","8.72","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422618","AZ","04013422618","=""04013422618""","0.63","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422624","AZ","04013422624","=""04013422624""","3.62","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422625","AZ","04013422625","=""04013422625""","18.98","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422626","AZ","04013422626","=""04013422626""","3.11","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422633","AZ","04013422633","=""04013422633""","13.16","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422634","AZ","04013422634","=""04013422634""","18.94","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422636","AZ","04013422636","=""04013422636""","8.26","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422637","AZ","04013422637","=""04013422637""","14.51","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422638","AZ","04013422638","=""04013422638""","11.03","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422640","AZ","04013422640","=""04013422640""","9.35","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422642","AZ","04013422642","=""04013422642""","4.37","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422643","AZ","04013422643","=""04013422643""","4.66","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422647","AZ","04013422647","=""04013422647""","4.21","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422648","AZ","04013422648","=""04013422648""","5.05","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422649","AZ","04013422649","=""04013422649""","1.88","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422650","AZ","04013422650","=""04013422650""","5.85","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422651","AZ","04013422651","=""04013422651""","4.55","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422652","AZ","04013422652","=""04013422652""","0.32","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422654","AZ","04013422654","=""04013422654""","8.44","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422655","AZ","04013422655","=""04013422655""","7.11","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422659","AZ","04013422659","=""04013422659""","5.40","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422660","AZ","04013422660","=""04013422660""","8.54","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522801","AZ","04013522801","=""04013522801""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522802","AZ","04013522802","=""04013522802""","19.33","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013817600","AZ","04013817600","=""04013817600""","2.33","2020-2024","2022","Census","Mesa (City, 2020)"
