"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbachp","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013421801","AZ","04013421801","=""04013421801""","12.10","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421802","AZ","04013421802","=""04013421802""","12.79","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421901","AZ","04013421901","=""04013421901""","13.57","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421902","AZ","04013421902","=""04013421902""","4.37","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422001","AZ","04013422001","=""04013422001""","5.98","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422002","AZ","04013422002","=""04013422002""","13.23","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422102","AZ","04013422102","=""04013422102""","18.68","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422103","AZ","04013422103","=""04013422103""","22.23","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422104","AZ","04013422104","=""04013422104""","26.21","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422105","AZ","04013422105","=""04013422105""","26.05","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422106","AZ","04013422106","=""04013422106""","11.41","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422107","AZ","04013422107","=""04013422107""","35.03","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422203","AZ","04013422203","=""04013422203""","24.98","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422212","AZ","04013422212","=""04013422212""","52.29","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422213","AZ","04013422213","=""04013422213""","45.36","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422215","AZ","04013422215","=""04013422215""","25.47","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422216","AZ","04013422216","=""04013422216""","47.17","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422217","AZ","04013422217","=""04013422217""","36.36","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422221","AZ","04013422221","=""04013422221""","30.31","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422222","AZ","04013422222","=""04013422222""","59.89","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422223","AZ","04013422223","=""04013422223""","35.17","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422224","AZ","04013422224","=""04013422224""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422225","AZ","04013422225","=""04013422225""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422226","AZ","04013422226","=""04013422226""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422227","AZ","04013422227","=""04013422227""","48.08","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422301","AZ","04013422301","=""04013422301""","20.83","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422302","AZ","04013422302","=""04013422302""","18.12","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422501","AZ","04013422501","=""04013422501""","26.21","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422502","AZ","04013422502","=""04013422502""","28.56","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422503","AZ","04013422503","=""04013422503""","24.05","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422504","AZ","04013422504","=""04013422504""","30.85","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422513","AZ","04013422513","=""04013422513""","25.63","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422514","AZ","04013422514","=""04013422514""","42.94","2020-2024","2022","Census","Mesa (City, 2020)"
