"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Layer_Source","store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Point_Source","Location"
"Census Tract","04013610002","AZ","04013610002","=""04013610002""","139458","2020-2024","2022","Census","Subway","4435 W Anthem Way","","Anthem","AZ","85086","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610301","AZ","04013610301","=""04013610301""","139856","2020-2024","2022","Census","Subway 22363","3655 W Anthem Way","Ste C105","Anthem","AZ","85086","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610201","AZ","04013610201","=""04013610201""","136435","2020-2024","2022","Census","CVS Pharmacy 9340","3610 W Anthem Way","","Anthem","AZ","85086","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610100","AZ","04013610100","=""04013610100""","107067","2020-2024","2022","Census","Carioca Shell 52","3906 W New River Rd","","New River","AZ","85087","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610201","AZ","04013610201","=""04013610201""","136435","2020-2024","2022","Census","Circle K 2709189","3502 W Anthem Way","","Anthem","AZ","85086","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610002","AZ","04013610002","=""04013610002""","139458","2020-2024","2022","Census","Circle K 2709192","4135 W Anthem Way","","Anthem","AZ","85086","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610002","AZ","04013610002","=""04013610002""","139458","2020-2024","2022","Census","Firehouse Subs #1844","42407 N Vision Way","Ste 103","Phoenix","AZ","85086","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610002","AZ","04013610002","=""04013610002""","139458","2020-2024","2022","Census","Del Taco # 1103","4115 W Anthem Way","","Anthem","AZ","85086","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013610201","AZ","04013610201","=""04013610201""","136435","2020-2024","2022","Census","Dollar Tree 5564","3668 W Anthem Way","Ste A102","Anthem","AZ","85086","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040502","AZ","04013040502","=""04013040502""","67407","2020-2024","2022","Census","SAFEWAY  1584","1999 W Wickenburg Way","","Wickenburg","AZ","85390","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040515","AZ","04013040515","=""04013040515""","68929","2020-2024","2022","Census","CVS Pharmacy 9270","2033 W Wickenburg Way","","Wickenburg","AZ","85390","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013040515","AZ","04013040515","=""04013040515""","68929","2020-2024","2022","Census","Family Dollar Store 10741","50518 N Eagle View Dr","","Aguila","AZ","85320","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
