"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_obesity","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013421602","AZ","04013421602","=""04013421602""","37.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013421701","AZ","04013421701","=""04013421701""","33.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013421702","AZ","04013421702","=""04013421702""","38.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013421801","AZ","04013421801","=""04013421801""","31.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013421802","AZ","04013421802","=""04013421802""","37.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013421901","AZ","04013421901","=""04013421901""","35.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013421902","AZ","04013421902","=""04013421902""","41.1","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422001","AZ","04013422001","=""04013422001""","38.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422002","AZ","04013422002","=""04013422002""","36.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422102","AZ","04013422102","=""04013422102""","34.5","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422103","AZ","04013422103","=""04013422103""","33.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422104","AZ","04013422104","=""04013422104""","34.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422105","AZ","04013422105","=""04013422105""","31.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422106","AZ","04013422106","=""04013422106""","35.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422107","AZ","04013422107","=""04013422107""","34.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422203","AZ","04013422203","=""04013422203""","31.1","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422212","AZ","04013422212","=""04013422212""","27.1","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422213","AZ","04013422213","=""04013422213""","29.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422215","AZ","04013422215","=""04013422215""","29.9","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422216","AZ","04013422216","=""04013422216""","27.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422217","AZ","04013422217","=""04013422217""","29.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422221","AZ","04013422221","=""04013422221""","29.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422222","AZ","04013422222","=""04013422222""","28.3","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422223","AZ","04013422223","=""04013422223""","32.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422224","AZ","04013422224","=""04013422224""","N/A","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422225","AZ","04013422225","=""04013422225""","N/A","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422226","AZ","04013422226","=""04013422226""","N/A","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422227","AZ","04013422227","=""04013422227""","30.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422301","AZ","04013422301","=""04013422301""","32.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
