"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013421801","AZ","04013421801","=""04013421801""","66.60","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421802","AZ","04013421802","=""04013421802""","83.61","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421901","AZ","04013421901","=""04013421901""","86.53","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421902","AZ","04013421902","=""04013421902""","89.04","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422001","AZ","04013422001","=""04013422001""","93.67","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422002","AZ","04013422002","=""04013422002""","85.29","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422102","AZ","04013422102","=""04013422102""","87.26","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422103","AZ","04013422103","=""04013422103""","82.04","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422104","AZ","04013422104","=""04013422104""","70.89","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422105","AZ","04013422105","=""04013422105""","79.16","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422106","AZ","04013422106","=""04013422106""","76.34","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422107","AZ","04013422107","=""04013422107""","75.64","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422203","AZ","04013422203","=""04013422203""","75.35","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422212","AZ","04013422212","=""04013422212""","67.20","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422213","AZ","04013422213","=""04013422213""","67.54","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422215","AZ","04013422215","=""04013422215""","80.93","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422216","AZ","04013422216","=""04013422216""","83.86","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422217","AZ","04013422217","=""04013422217""","79.91","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422221","AZ","04013422221","=""04013422221""","65.85","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422222","AZ","04013422222","=""04013422222""","64.78","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422223","AZ","04013422223","=""04013422223""","72.98","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422224","AZ","04013422224","=""04013422224""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422225","AZ","04013422225","=""04013422225""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422226","AZ","04013422226","=""04013422226""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422227","AZ","04013422227","=""04013422227""","63.22","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422301","AZ","04013422301","=""04013422301""","88.36","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422302","AZ","04013422302","=""04013422302""","76.11","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422501","AZ","04013422501","=""04013422501""","86.04","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422502","AZ","04013422502","=""04013422502""","81.97","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422503","AZ","04013422503","=""04013422503""","72.92","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422504","AZ","04013422504","=""04013422504""","77.21","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422513","AZ","04013422513","=""04013422513""","73.41","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422514","AZ","04013422514","=""04013422514""","73.01","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422607","AZ","04013422607","=""04013422607""","79.89","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422609","AZ","04013422609","=""04013422609""","78.84","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422610","AZ","04013422610","=""04013422610""","84.62","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422615","AZ","04013422615","=""04013422615""","82.84","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422617","AZ","04013422617","=""04013422617""","68.27","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422618","AZ","04013422618","=""04013422618""","89.53","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422624","AZ","04013422624","=""04013422624""","58.79","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422625","AZ","04013422625","=""04013422625""","83.52","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422626","AZ","04013422626","=""04013422626""","78.44","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422633","AZ","04013422633","=""04013422633""","83.90","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422634","AZ","04013422634","=""04013422634""","88.86","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422636","AZ","04013422636","=""04013422636""","79.44","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422637","AZ","04013422637","=""04013422637""","75.01","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422638","AZ","04013422638","=""04013422638""","80.40","2020-2024","2022","Census","Mesa (City, 2020)"
