"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","cpop","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013421802","AZ","04013421802","=""04013421802""","4396","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421901","AZ","04013421901","=""04013421901""","4457","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421902","AZ","04013421902","=""04013421902""","5922","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422001","AZ","04013422001","=""04013422001""","4157","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422002","AZ","04013422002","=""04013422002""","4089","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422102","AZ","04013422102","=""04013422102""","4180","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422103","AZ","04013422103","=""04013422103""","4594","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422104","AZ","04013422104","=""04013422104""","5635","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422105","AZ","04013422105","=""04013422105""","3135","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422106","AZ","04013422106","=""04013422106""","6090","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422107","AZ","04013422107","=""04013422107""","4590","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422203","AZ","04013422203","=""04013422203""","5912","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422212","AZ","04013422212","=""04013422212""","3996","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422213","AZ","04013422213","=""04013422213""","2305","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422215","AZ","04013422215","=""04013422215""","2371","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422216","AZ","04013422216","=""04013422216""","5434","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422217","AZ","04013422217","=""04013422217""","3628","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422221","AZ","04013422221","=""04013422221""","4247","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422222","AZ","04013422222","=""04013422222""","2203","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422223","AZ","04013422223","=""04013422223""","3017","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422224","AZ","04013422224","=""04013422224""","0","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422225","AZ","04013422225","=""04013422225""","0","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422226","AZ","04013422226","=""04013422226""","0","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422227","AZ","04013422227","=""04013422227""","1655","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422301","AZ","04013422301","=""04013422301""","5812","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422302","AZ","04013422302","=""04013422302""","5647","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422501","AZ","04013422501","=""04013422501""","6256","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422502","AZ","04013422502","=""04013422502""","5909","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422503","AZ","04013422503","=""04013422503""","6280","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422504","AZ","04013422504","=""04013422504""","5277","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422513","AZ","04013422513","=""04013422513""","5112","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422514","AZ","04013422514","=""04013422514""","4655","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422607","AZ","04013422607","=""04013422607""","3888","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422609","AZ","04013422609","=""04013422609""","4161","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422610","AZ","04013422610","=""04013422610""","3028","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422615","AZ","04013422615","=""04013422615""","7319","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422617","AZ","04013422617","=""04013422617""","5886","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422618","AZ","04013422618","=""04013422618""","3195","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422624","AZ","04013422624","=""04013422624""","2784","2020-2024","2022","Census","Mesa (City, 2020)"
