"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013421802","AZ","04013421802","=""04013421802""","68875","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421901","AZ","04013421901","=""04013421901""","81821","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421902","AZ","04013421902","=""04013421902""","54865","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422001","AZ","04013422001","=""04013422001""","58194","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422002","AZ","04013422002","=""04013422002""","49774","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422102","AZ","04013422102","=""04013422102""","45357","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422103","AZ","04013422103","=""04013422103""","52778","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422104","AZ","04013422104","=""04013422104""","66726","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422105","AZ","04013422105","=""04013422105""","76852","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422106","AZ","04013422106","=""04013422106""","58093","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422107","AZ","04013422107","=""04013422107""","65766","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422203","AZ","04013422203","=""04013422203""","54324","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422212","AZ","04013422212","=""04013422212""","104861","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422213","AZ","04013422213","=""04013422213""","120400","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422215","AZ","04013422215","=""04013422215""","85042","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422216","AZ","04013422216","=""04013422216""","90903","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422217","AZ","04013422217","=""04013422217""","91250","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422221","AZ","04013422221","=""04013422221""","72047","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422222","AZ","04013422222","=""04013422222""","121786","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422223","AZ","04013422223","=""04013422223""","64500","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422224","AZ","04013422224","=""04013422224""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422225","AZ","04013422225","=""04013422225""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422226","AZ","04013422226","=""04013422226""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422227","AZ","04013422227","=""04013422227""","77171","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422301","AZ","04013422301","=""04013422301""","68154","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422302","AZ","04013422302","=""04013422302""","71983","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422501","AZ","04013422501","=""04013422501""","94871","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422502","AZ","04013422502","=""04013422502""","85054","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422503","AZ","04013422503","=""04013422503""","87926","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422504","AZ","04013422504","=""04013422504""","87568","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422513","AZ","04013422513","=""04013422513""","110707","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422514","AZ","04013422514","=""04013422514""","85335","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422607","AZ","04013422607","=""04013422607""","54077","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422609","AZ","04013422609","=""04013422609""","72132","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422610","AZ","04013422610","=""04013422610""","50486","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422615","AZ","04013422615","=""04013422615""","110221","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422617","AZ","04013422617","=""04013422617""","121383","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422618","AZ","04013422618","=""04013422618""","60813","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422624","AZ","04013422624","=""04013422624""","57652","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422625","AZ","04013422625","=""04013422625""","51033","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422626","AZ","04013422626","=""04013422626""","53278","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422633","AZ","04013422633","=""04013422633""","66375","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422634","AZ","04013422634","=""04013422634""","55599","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422636","AZ","04013422636","=""04013422636""","82813","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422637","AZ","04013422637","=""04013422637""","103906","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422638","AZ","04013422638","=""04013422638""","66435","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422640","AZ","04013422640","=""04013422640""","81302","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422642","AZ","04013422642","=""04013422642""","93000","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422643","AZ","04013422643","=""04013422643""","108833","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422647","AZ","04013422647","=""04013422647""","153355","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422648","AZ","04013422648","=""04013422648""","131131","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422649","AZ","04013422649","=""04013422649""","128583","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422650","AZ","04013422650","=""04013422650""","96827","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422651","AZ","04013422651","=""04013422651""","167188","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422652","AZ","04013422652","=""04013422652""","76389","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422654","AZ","04013422654","=""04013422654""","143819","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422655","AZ","04013422655","=""04013422655""","96518","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422659","AZ","04013422659","=""04013422659""","76118","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422660","AZ","04013422660","=""04013422660""","78873","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522801","AZ","04013522801","=""04013522801""","N/A","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013522802","AZ","04013522802","=""04013522802""","38828","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013817600","AZ","04013817600","=""04013817600""","139167","2020-2024","2022","Census","Mesa (City, 2020)"
